Qvsn,Q(V)_100,Q(V)_10
1.0473936,-0.000481293,-0.000315893
1.0484043,-0.000435806,-0.000279457
1.0489931,-0.000392534,-0.000245011
1.0493331,-0.000351296,-0.000212347
1.0497673,-0.000311915,-0.000181259
1.0501264,-0.000274211,-0.00015154
1.0500704,-0.000238004,-0.000122983
1.0502619,-0.000203117,-9.54E-05
1.0504674,-0.00016937,-6.85E-05
1.0506839,-0.000136585,-4.22E-05
1.0507265,-0.000104581,-1.62E-05
1.0507106,-7.32E-05,9.60E-06
1.0508683,-4.22E-05,3.55E-05
1.0508605,-1.15E-05,6.17E-05
1.0509573,1.92E-05,8.84E-05
1.051035,5.00E-05,0.000115828
1.0508991,8.10E-05,0.00014413
1.0509989,0.000112578,0.000173544
1.0509865,0.000144768,0.000204264
1.050957,0.000177786,0.000236298
1.051139,0.000211812,0.000269503
1.051139,0.000246993,0.000303732
1.0512474,0.000283294,0.000338837
1.0514714,0.000320619,0.000374671
1.0514679,0.000358871,0.000411086
1.0515709,0.000397952,0.000447942
1.0515978,0.000437766,0.000485229
1.0514621,0.000478215,0.00052306
1.0515585,0.000519218,0.000561552
1.0514594,0.000560819,0.000600823
1.0515702,0.000603123,0.000640991
1.0514708,0.000646238,0.000682172
1.0514958,0.000690272,0.000724476
1.0514472,0.000735331,0.000767914
1.0513089,0.000781523,0.000812424
1.0514104,0.000828933,0.000857942
1.0513521,0.000877525,0.000904406
1.0512747,0.000927222,0.000951753
1.0511904,0.000977946,0.000999918
1.0512074,0.001029621,0.001048843
1.0512486,0.001082168,0.001098512
1.0512204,0.001135509,0.001148953
1.0511702,0.001189577,0.001200191
1.0511127,0.001244363,0.001252255
1.0511051,0.00129989,0.00130517
1.0511712,0.001356181,0.001358965
1.051091,0.001413258,0.001413666
1.0511503,0.001471144,0.001469291
1.0511497,0.001529861,0.001525856
1.0511173,0.001589436,0.001583377
1.0511059,0.001649934,0.00164187
1.0510563,0.001711433,0.00170135
1.0509559,0.001774014,0.001761834
1.0510446,0.001837755,0.001823338
1.0510813,0.001902737,0.001885892
1.0511928,0.00196904,0.001949526
1.0512228,0.002036726,0.002014274
1.0512738,0.002105788,0.002080168
1.0513295,0.0021762,0.002147241
1.051351,0.002247935,0.002215524
1.0513595,0.002320967,0.002285049
1.0514936,0.002395269,0.002355843
1.0514557,0.002470814,0.002427934
1.0513939,0.002547578,0.002501349
1.0514636,0.002625544,0.002576114
1.0513117,0.002704694,0.002652257
1.0513059,0.002785011,0.002729805
1.0513808,0.002866476,0.002808759
1.0512903,0.002949074,0.002889074
1.051228,0.003032787,0.002970696
1.0511543,0.003117621,0.003053573
1.0511551,0.003203607,0.003137652
1.0511136,0.003290779,0.00322288
1.0511526,0.003379169,0.003309206
1.0510597,0.003468811,0.003396612
1.0509657,0.003559738,0.003485134
1.0509433,0.003651986,0.003574808
1.0509826,0.003745629,0.003665673
1.0509236,0.003840772,0.003757767
1.0508543,0.003937523,0.003851127
1.0508264,0.004035988,0.003945794
1.0508155,0.004136273,0.004041835
1.0506955,0.004238484,0.00413934
1.0506592,0.004342705,0.004238399
1.0506053,0.004448837,0.004339104
1.0505065,0.004556705,0.004441546
1.0504925,0.004666135,0.004545814
1.0506116,0.004776949,0.004651981
1.0506102,0.004888971,0.004759995
1.0507165,0.005002027,0.004869767
1.0508358,0.005116002,0.004981203
1.0508823,0.005231073,0.005094212
1.0508852,0.0053475,0.005208702
1.0508024,0.005465546,0.005324582
1.0507576,0.00558547,0.005441797
