Data_Point,Test_Time,DateTime,Step_Time,Step_Index,Cycle_Index,Current,Voltage,Charge_Capacity,Discharge_Capacity,Charge_Energy,Discharge_Energy,dV/dt,Internal_Resistance,Temperature,Aux_Voltage
0,0.1173,1555722774.5854,0.0063,2,0,-1.1002645,1.9993086,0.0,0.029321309,-7.6221518e-06,0.080392577,-0.089103699,,23.688360942391668,
1,0.1428,1555722774.6109,0.0318,2,0,-1.1002377,1.9979582,0.0,0.029321309,-7.6221518e-06,0.080392577,-0.089103699,,23.688450839099765,
2,0.2366,1555722774.7047,0.1256,2,0,-1.0933113,1.9991093,0.0,0.029321309,-7.6221518e-06,0.080392577,-0.089103699,,23.688781517971112,
3,10.2394,1555722784.7075,10.1284,2,0,-0.77356768,1.9999952,0.0,0.030485058,-0.0023349051,0.082719855,1.9073486e-05,,23.724045,
4,20.24,1555722794.7081,20.129,2,0,-0.64785278,1.9999933,0.0,0.031017726,-0.0034002296,0.083785184,5.9127808e-05,,23.77577748270621,
5,30.2435,1555722804.7116,30.1325,2,0,-0.5516842,2.0000038,0.0,0.031395189,-0.0041551511,0.084540106,-2.1934509e-05,,23.775778,
6,40.2471,1555722814.7152,40.1361,2,0,-0.45766556,1.9999933,0.0,0.031692848,-0.0047504655,0.085135415,3.9100647e-05,,23.85951,
7,50.251,1555722824.7191,50.14,2,0,-0.38115484,1.9999838,0.0,0.031940036,-0.0052448432,0.085629798,-1.9073486e-05,,23.967127,
8,60.2536,1555722834.7217,60.1426,2,0,-0.32749015,1.9999924,0.0,0.032150935,-0.0056666392,0.086051591,8.5830688e-06,,23.962847042788447,
9,70.2575,1555722844.7256,70.1465,2,0,-0.28369832,2.0000296,0.0,0.03233571,-0.0060361903,0.08642114,-2.7656555e-05,,24.00481558047362,
10,73.4285,1555722847.8966,73.3175,2,0,-0.26737383,2.0000343,0.0,0.032389842,-0.0061444486,0.086529404,-2.7656555e-05,,24.0620541948912,
11,3971.7808,1555726746.2489,3971.6698,2,0,-0.002987083,2.6078615,0.0,0.032391995,-0.0061502391,0.086535059,0.0,,30.658075,
