Data_Point,Test_Time,DateTime,Step_Time,Step_Index,Cycle_Index,Current,Voltage,Charge_Capacity,Discharge_Capacity,Charge_Energy,Discharge_Energy,dV/dt,Internal_Resistance,Temperature,Aux_Voltage
0,10.0103,1547507302,10.0103,0,0,0,2.8329172,0,0,0,0,-1.91E-06,,29.970366,
1,20.0051,1547507312,20.0051,0,0,0,2.8329144,0,0,0,0,-3.62E-05,,29.909794,
2,30.002,1547507322,30.002,0,0,0,2.8328981,0,0,0,0,-1.81E-05,,29.99505115,
3,40.0047,1547507332,40.0047,0,0,0,2.8328934,0,0,0,0,-6.20E-05,,29.983984,
4,50.0004,1547507342,50.0004,0,0,0,2.8329048,0,0,0,0,-1.81E-05,,29.92702357,
5,60.0025,1547507352,60.0025,0,0,0,2.8329029,0,0,0,0,-5.05E-05,,29.9371529,
6,60.003,1547507352,60.003,0,0,0,2.8329029,0,0,0,0,-5.05E-05,,29.93715234,
7,60.0674,1547507352,0.0032,1,0,-1.0958099,2.7985201,0,4.83E-07,0,1.37E-06,0.000123978,,29.93704599,
8,60.08,1547507352,0.0158,1,0,-1.095602,2.7969084,0,4.83E-07,0,1.37E-06,0.000123978,,29.93702519,
9,60.0896,1547507352,0.0254,1,0,-1.0946159,2.7938309,0,4.83E-07,0,1.37E-06,0.000123978,,29.93700933,
10,60.096,1547507352,0.0318,1,0,-1.0951271,2.7925453,0,4.83E-07,0,1.37E-06,0.000123978,,29.93699877,
11,60.1095,1547507352,0.0453,1,0,-1.0943136,2.7914181,0,4.83E-07,0,1.37E-06,0.000123978,,29.93697647,
12,60.1186,1547507352,0.0544,1,0,-1.093996,2.7894955,0,4.83E-07,0,1.37E-06,0.000123978,,29.93696145,
13,60.1288,1547507352,0.0646,1,0,-1.0967636,2.7878141,0,4.83E-07,0,1.37E-06,0.000123978,,29.9369446,
14,60.1423,1547507352,0.0781,1,0,-1.0974188,2.7865152,0,4.83E-07,0,1.37E-06,0.000123978,,29.93692231,
15,60.1521,1547507352,0.0879,1,0,-1.0984764,2.784524,0,4.83E-07,0,1.37E-06,0.000123978,,29.93690613,
16,60.1615,1547507352,0.0973,1,0,-1.0994625,2.7830544,0,4.83E-07,0,1.37E-06,0.000123978,,29.9368906,
17,60.1647,1547507352,0.1005,1,0,-1.1000385,2.7819271,0,4.83E-07,0,1.37E-06,0.000123978,,29.93688532,
18,60.1775,1547507352,0.1133,1,0,-1.1057911,2.7801666,0,4.83E-07,0,1.37E-06,0.000123978,,29.93686418,
19,60.1905,1547507352,0.1263,1,0,-1.1073399,2.778513,0,4.83E-07,0,1.37E-06,0.000123978,,29.93684272,
