Data_Point,Test_Time,DateTime,Step_Time,Step_Index,Cycle_Index,Current,Voltage,Charge_Capacity,Discharge_Capacity,Charge_Energy,Discharge_Energy,dV/dt,Internal_Resistance,Temperature,Aux_Voltage
0,0.1203,1555722749.7814,0.0085,2,0,-1.0999947,2.00353,0.0,0.021762485,-4.2962029e-06,0.058430348,-0.085920334,,23.91971877346463,
1,0.1313,1555722749.7924,0.0195,2,0,-1.0999452,2.0025182,0.0,0.021762485,-4.2962029e-06,0.058430348,-0.085920334,,23.919789601757504,
2,0.1459,1555722749.807,0.0341,2,0,-1.0999848,2.001184,0.0,0.021762485,-4.2962029e-06,0.058430348,-0.085920334,,23.919883610218957,
3,0.1536,1555722749.8147,0.0418,2,0,-1.1000451,1.9999623,0.0,0.021762485,-4.2962029e-06,0.058430348,-0.085920334,,23.91993319002397,
4,0.1746,1555722749.8357,0.0628,2,0,-1.0999911,1.998734,0.0,0.021762485,-4.2962029e-06,0.058430348,-0.085920334,,23.920068407673998,
5,0.2003,1555722749.8614,0.0885,2,0,-1.0983852,1.9974904,0.0,0.021762485,-4.2962029e-06,0.058430348,-0.085920334,,23.920233888321896,
6,0.243,1555722749.9041,0.1312,2,0,-1.0929712,1.9986367,0.0,0.021762485,-4.2962029e-06,0.058430348,-0.085920334,,23.920508830876962,
7,0.2716,1555722749.9327,0.1598,2,0,-1.0897844,1.9997048,0.0,0.021762485,-4.2962029e-06,0.058430348,-0.085920334,,23.920692984438432,
8,10.2731,1555722759.9342,10.1613,2,0,-0.64637655,2.0000873,0.0,0.022918709,-0.0023165869,0.060742639,4.9591064e-05,,23.985092,
9,20.2812,1555722769.9423,20.1694,2,0,-0.49670139,1.9999223,0.0,0.023423593,-0.0033263501,0.061752401,5.7220459e-05,,24.039256458793787,
10,30.283,1555722779.9441,30.1712,2,0,-0.38648084,2.0000062,0.0,0.023778282,-0.0040357243,0.062461775,-4.1007996e-05,,24.09526044006079,
11,40.2889,1555722789.95,40.1771,2,0,-0.27029264,1.9999604,0.0,0.024055898,-0.0045909579,0.063017011,1.2397766e-05,,24.170844244605682,
12,50.2919,1555722799.953,50.1801,2,0,-0.2148883,2.0000415,0.0,0.024283627,-0.0050464123,0.063472465,-9.5367432e-06,,24.183012,
13,60.2955,1555722809.9566,60.1837,2,0,-0.16284859,1.9999518,0.0,0.024474982,-0.005429124,0.063855179,1.335144e-05,,24.204885,
14,70.2994,1555722819.9605,70.1876,2,0,-0.12773888,2.0000424,0.0,0.024637219,-0.0057535963,0.064179644,7.5340271e-05,,24.26424,
15,80.3009,1555722829.962,80.1891,2,0,-0.10002352,2.0000529,0.0,0.024778049,-0.0060352604,0.064461313,-2.0980835e-05,,24.311222,
16,90.304,1555722839.9651,90.1922,2,0,-0.083253577,2.0000024,0.0,0.024902629,-0.0062844185,0.064710468,1.5258789e-05,,24.368429,
17,98.2276,1555722847.8887,98.1158,2,0,-0.07228072,1.9999919,0.0,0.024992006,-0.0064631719,0.064889222,1.5258789e-05,,24.448273,
18,3996.404,1555726746.0651,3996.2922,2,0,-0.0013979445,2.5612931,0.0,0.02499263,-0.0064646695,0.064890683,0.0,,30.56634884305287,
19,3996.6365,1555726746.2976,3996.5247,2,0,-0.0046498585,2.5602841,0.0,0.02499263,-0.0064646695,0.064890683,0.0,,30.522101811068268,
20,3996.845,1555726746.5061,3996.7332,2,0,-0.0085611138,2.5592637,0.0,0.02499263,-0.0064646695,0.064890683,0.0,,30.482405,
21,3997.0396,1555726746.7007,3996.9278,2,0,-0.012907913,2.5582576,0.0,0.02499263,-0.0064646695,0.064890683,0.0,,30.481564879079645,
22,3997.242,1555726746.9031,3997.1302,2,0,-0.017882559,2.5572114,0.0,0.02499263,-0.0064646695,0.064890683,0.0,,30.480691084247788,
23,3997.4283,1555726747.0894,3997.3165,2,0,-0.022727963,2.5562072,0.0,0.025002372,-0.0064895945,0.064915612,-0.0050239563,,30.47988679582301,
24,3997.6179,1555726747.279,3997.5061,2,0,-0.027937565,2.5551982,0.0,0.025002372,-0.0064895945,0.064915612,-0.0050239563,,30.479068260743365,
25,3997.7992,1555726747.4603,3997.6874,2,0,-0.033113085,2.5541863,0.0,0.025002372,-0.0064895945,0.064915612,-0.0050239563,,30.478285558159293,
26,3997.9854,1555726747.6465,3997.8736,2,0,-0.038326845,2.553164,0.0,0.025002372,-0.0064895945,0.064915612,-0.0050239563,,30.477481701451328,
27,3998.1653,1555726747.8264,3998.0535,2,0,-0.043384325,2.5521502,0.0,0.025002372,-0.0064895945,0.064915612,-0.0050239563,,30.476705042902655,
28,3998.3388,1555726747.9999,3998.227,2,0,-0.048222411,2.5511422,0.0,0.025002372,-0.0064895945,0.064915612,-0.0050239563,,30.47595601423009,
29,3998.5293,1555726748.1904,3998.4175,2,0,-0.053423088,2.550117,0.0,0.025023464,-0.0065434417,0.064969458,-0.0057191849,,30.475133593699116,
30,3998.7121,1555726748.3732,3998.6003,2,0,-0.058338348,2.5491061,0.0,0.025023464,-0.0065434417,0.064969458,-0.0057191849,,30.474344415362832,
31,3998.892,1555726748.5531,3998.7802,2,0,-0.062943719,2.5480771,0.0,0.025023464,-0.0065434417,0.064969458,-0.0057191849,,30.47356775681416,
32,3999.0854,1555726748.7465,3998.9736,2,0,-0.067758821,2.5470624,0.0,0.025023464,-0.0065434417,0.064969458,-0.0057191849,,30.472732816495576,
33,3999.2721,1555726748.9332,3999.1603,2,0,-0.072086178,2.5460429,0.0,0.025023464,-0.0065434417,0.064969458,-0.0057191849,,30.47192680120354,
34,3999.4644,1555726749.1255,3999.3526,2,0,-0.076307237,2.5450158,0.0,0.025047515,-0.0066047111,0.065030724,-0.0055379868,,30.471096609769912,
35,3999.6699,1555726749.331,3999.5581,2,0,-0.08061251,2.5439572,0.0,0.025047515,-0.0066047111,0.065030724,-0.0055379868,,30.470209431716814,
36,3999.8662,1555726749.5273,3999.7544,2,0,-0.084377103,2.5429397,0.0,0.025047515,-0.0066047111,0.065030724,-0.0055379868,,30.47048613533387,
37,4000.0364,1555726749.6975,3999.9246,2,0,-0.087548435,2.5419164,0.0,0.025047515,-0.0066047111,0.065030724,-0.0055379868,,30.4707265452922,
38,4000.1518,1555726749.8129,4000.04,2,0,-0.090185471,2.5408931,0.0,0.025047515,-0.0066047111,0.065030724,-0.0055379868,,30.470889549459017,
39,4000.2646,1555726749.9257,4000.1528,2,0,-0.093001887,2.5398517,0.0,0.025047515,-0.0066047111,0.065030724,-0.0055379868,,30.471048881088276,
40,4000.3766,1555726750.0377,4000.2648,2,0,-0.096062772,2.5388007,0.0,0.025075201,-0.0066750976,0.065101117,-0.0066490173,,30.471207082705977,
41,4000.4797,1555726750.1408,4000.3679,2,0,-0.099017739,2.5377831,0.0,0.025075201,-0.0066750976,0.065101117,-0.0066490173,,30.471352712945134,
42,4000.5792,1555726750.2403,4000.4674,2,0,-0.10211139,2.5367684,0.0,0.025075201,-0.0066750976,0.065101117,-0.0066490173,,30.471493258132288,
43,4000.6797,1555726750.3408,4000.5679,2,0,-0.1053092,2.5357623,0.0,0.025075201,-0.0066750976,0.065101117,-0.0066490173,,30.47163521583389,
44,4000.7801,1555726750.4412,4000.6683,2,0,-0.10857245,2.5347457,0.0,0.025075201,-0.0066750976,0.065101117,-0.0066490173,,30.471777032284045,
45,4000.8822,1555726750.5433,4000.7704,2,0,-0.11190882,2.5336928,0.0,0.025075201,-0.0066750976,0.065101117,-0.0066490173,,30.471921250008755,
46,4000.9877,1555726750.6488,4000.8759,2,0,-0.11547023,2.532681,0.0,0.025075201,-0.0066750976,0.065101117,-0.0066490173,,30.472070270282575,
47,4001.0813,1555726750.7424,4000.9695,2,0,-0.1186771,2.5316491,0.0,0.025075201,-0.0066750976,0.065101117,-0.0066490173,,30.47220248163451,
48,4001.1818,1555726750.8429,4001.07,2,0,-0.12207146,2.5306039,0.0,0.025075201,-0.0066750976,0.065101117,-0.0066490173,,30.472344439336112,
49,4001.2882,1555726750.9493,4001.1764,2,0,-0.12564248,2.5295472,0.0,0.025075201,-0.0066750976,0.065101117,-0.0066490173,,30.47249473087293,
50,4001.3841,1555726751.0452,4001.2723,2,0,-0.12880975,2.5285373,0.0,0.025116768,-0.0067804079,0.065206423,-0.010401726,,30.47263019100809,
51,4001.4892,1555726751.1503,4001.3774,2,0,-0.13211982,2.5275359,0.0,0.025116768,-0.0067804079,0.065206423,-0.010401726,,30.47277864627613,
52,4001.5831,1555726751.2442,4001.4713,2,0,-0.13537101,2.5265107,0.0,0.025116768,-0.0067804079,0.065206423,-0.010401726,,30.4729112813824,
53,4001.6887,1555726751.3498,4001.5769,2,0,-0.13856359,2.5254512,0.0,0.025116768,-0.0067804079,0.065206423,-0.010401726,,30.473060442907666,
54,4001.7942,1555726751.4553,4001.6824,2,0,-0.14185925,2.524405,0.0,0.025116768,-0.0067804079,0.065206423,-0.010401726,,30.473209463181487,
55,4001.8929,1555726751.554,4001.7811,2,0,-0.14489253,2.5233941,0.0,0.025116768,-0.0067804079,0.065206423,-0.010401726,,30.473348878357086,
56,4001.9987,1555726751.6598,4001.8869,2,0,-0.14799279,2.5223823,0.0,0.025116768,-0.0067804079,0.065206423,-0.010401726,,30.47349832238524,
57,4002.1001,1555726751.7612,4001.9883,2,0,-0.1508203,2.521338,0.0,0.025116768,-0.0067804079,0.065206423,-0.010401726,,30.47364155134984,
58,4002.2086,1555726751.8697,4002.0968,2,0,-0.15369256,2.5203052,0.0,0.025116768,-0.0067804079,0.065206423,-0.010401726,,30.47379480916699,
59,4002.313,1555726751.9741,4002.2012,2,0,-0.15642914,2.5192552,0.0,0.025116768,-0.0067804079,0.065206423,-0.010401726,,30.47394227567492,
60,4002.4218,1555726752.0829,4002.31,2,0,-0.15903647,2.5182023,0.0,0.025167676,-0.0069088587,0.065334879,-0.010151863,,30.474095957246405,
61,4002.5259,1555726752.187,4002.4141,2,0,-0.16152941,2.5171857,0.0,0.025167676,-0.0069088587,0.065334879,-0.010151863,,30.474243,
62,4002.6155,1555726752.2766,4002.5037,2,0,-0.16376299,2.5161357,0.0,0.025167676,-0.0069088587,0.065334879,-0.010151863,,30.475863748518453,
63,4002.6931,1555726752.3542,4002.5813,2,0,-0.16586868,2.5150466,0.0,0.025167676,-0.0069088587,0.065334879,-0.010151863,,30.477267432503183,
64,4002.773,1555726752.4341,4002.6612,2,0,-0.16808507,2.5140119,0.0,0.025167676,-0.0069088587,0.065334879,-0.010151863,,30.478712720523543,
65,4002.8397,1555726752.5008,4002.7279,2,0,-0.17006534,2.5130067,0.0,0.025167676,-0.0069088587,0.065334879,-0.010151863,,30.47991923755681,
66,4002.9115,1555726752.5726,4002.7997,2,0,-0.17228229,2.5119977,0.0,0.025167676,-0.0069088587,0.065334879,-0.010151863,,30.481218007016906,
67,4002.9872,1555726752.6483,4002.8754,2,0,-0.17455521,2.5109563,0.0,0.025167676,-0.0069088587,0.065334879,-0.010151863,,30.482587322450463,
68,4003.0551,1555726752.7162,4002.9433,2,0,-0.17669719,2.5098977,0.0,0.025167676,-0.0069088587,0.065334879,-0.010151863,,30.483815545937105,
69,4003.1232,1555726752.7843,4003.0114,2,0,-0.17904377,2.5088916,0.0,0.025167676,-0.0069088587,0.065334879,-0.010151863,,30.48504738716597,
70,4003.1904,1555726752.8515,4003.0786,2,0,-0.18123424,2.507854,0.0,0.025167676,-0.0069088587,0.065334879,-0.010151863,,30.48626294855481,
71,4003.2615,1555726752.9226,4003.1497,2,0,-0.1834403,2.5068507,0.0,0.025167676,-0.0069088587,0.065334879,-0.010151863,,30.487549055917107,
72,4003.3343,1555726752.9954,4003.2225,2,0,-0.18584275,2.5057979,0.0,0.025167676,-0.0069088587,0.065334879,-0.010151863,,30.488865914088347,
73,4003.4024,1555726753.0635,4003.2906,2,0,-0.18806295,2.504746,0.0,0.025223855,-0.0070499633,0.065475978,-0.013908386,,30.490097755317215,
74,4003.4727,1555726753.1338,4003.3609,2,0,-0.19045796,2.5037112,0.0,0.025223855,-0.0070499633,0.065475978,-0.013908386,,30.4913693917106,
75,4003.543,1555726753.2041,4003.4312,2,0,-0.19264132,2.5026774,0.0,0.025223855,-0.0070499633,0.065475978,-0.013908386,,30.492641028103982,
76,4003.6069,1555726753.268,4003.4951,2,0,-0.19480217,2.5016665,0.0,0.025223855,-0.0070499633,0.065475978,-0.013908386,,30.493796896746048,
77,4003.6802,1555726753.3413,4003.5684,2,0,-0.19711739,2.5006242,0.0,0.025223855,-0.0070499633,0.065475978,-0.013908386,,30.49512279927286,
78,4003.7496,1555726753.4107,4003.6378,2,0,-0.19921961,2.4996095,0.0,0.025223855,-0.0070499633,0.065475978,-0.013908386,,30.496378155826214,
79,4003.8174,1555726753.4785,4003.7056,2,0,-0.20127773,2.4986091,0.0,0.025223855,-0.0070499633,0.065475978,-0.013908386,,30.497604570441737,
80,4003.8896,1555726753.5507,4003.7778,2,0,-0.20346339,2.4975562,0.0,0.025223855,-0.0070499633,0.065475978,-0.013908386,,30.498910575386294,
81,4003.9576,1555726753.6187,4003.8458,2,0,-0.20559648,2.49647,0.0,0.025223855,-0.0070499633,0.065475978,-0.013908386,,30.500140607744047,
82,4004.0345,1555726753.6956,4003.9227,2,0,-0.2076657,2.4954371,0.0,0.025223855,-0.0070499633,0.065475978,-0.013908386,,30.50153162963098,
83,4004.1022,1555726753.7633,4003.9904,2,0,-0.20951277,2.4944196,0.0,0.025223855,-0.0070499633,0.065475978,-0.013908386,,30.502756235375386,
84,4004.177,1555726753.8381,4004.0652,2,0,-0.21158646,2.4933648,0.0,0.025223855,-0.0070499633,0.065475978,-0.013908386,,30.504109270968915,
85,4004.2534,1555726753.9145,4004.1416,2,0,-0.2134545,2.4923053,0.0,0.025223855,-0.0070499633,0.065475978,-0.013908386,,30.505491248500274,
86,4004.3173,1555726753.9784,4004.2055,2,0,-0.21509089,2.4912524,0.0,0.025223855,-0.0070499633,0.065475978,-0.013908386,,30.50664711714234,
87,4004.3782,1555726754.0393,4004.2664,2,0,-0.2168079,2.4901614,0.0,0.02528793,-0.0072099864,0.065636002,-0.015130997,,30.507748719650973,
88,4004.4308,1555726754.0919,4004.319,2,0,-0.21842948,2.4891124,0.0,0.02528793,-0.0072099864,0.065636002,-0.015130997,,30.50870018585712,
89,4004.4887,1555726754.1498,4004.3769,2,0,-0.22010247,2.4880881,0.0,0.02528793,-0.0072099864,0.065636002,-0.015130997,,30.50974752223232,
90,4004.5412,1555726754.2023,4004.4294,2,0,-0.22181551,2.4869971,0.0,0.02528793,-0.0072099864,0.065636002,-0.015130997,,30.51069717956735,
91,4004.6008,1555726754.2619,4004.489,2,0,-0.22356115,2.4859061,0.0,0.02528793,-0.0072099864,0.065636002,-0.015130997,,30.5117752667515,
